,class_name,class_description,domain_name,domain_label,domain_description,field_core,field_definition,field_implementationNotes,field_label,field_mappingInstructions,field_name,field_ordinal,field_prompt,field_questionText,field_simpleDatatype,field_codelistSubmissionValues
10,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,"The dose of procedure/assessment agent (e.g., --TRT ) given at one time represented as a numeric value.","Used when the dose/amount administered has only numeric entries. If non-numeric entries are possible, use the CDASH field AGDSTXT.",AG Dose per Administration,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,AGDOSE,11,[Dose/Amount] (per administration),What was the individual dose per administration of the [procedure/assessment agent]?,Num,
11,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,The dose of procedure/assessment agent administered per instance.,"Defining this data collection field as a dose text field allows for flexibility in capturing dose entries as numbers, text or ranges. The data collected in this dose text-format field should be separated or mapped to either SDTMIG AGDOSE (if numeric) or AGDOSTXT (if text).",Procedure Agents Dose Description,"This does not map directly to an SDTMIG variable. Numeric values map to AGDOSE in SDTM. Non-numeric values (e.g., 200-400) map to AGDOSTXT in SDTM.",AGDSTXT,12,Dose,What was the individual dose of the [procedure/assessment agent]?,Char,
12,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",R/C,The unit associated with the procedure/assessment agent.,"When sponsors collect data for amount of dose administered (i.e., Dose, Total Daily Dose), the unit must be collected as well (if applicable).",AG Dose Units,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,AGDOSU,13,(Dose) Unit,What is the unit (for the dose of the [procedure/assessment agent])?,Char,"['UNIT', 'CMDOSU']"
13,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,The pharmaceutical dosage form in which the AGTRT is physically presented.,"Some drugs have multiple forms and this field may be needed to code the drug to an ATC level. However, in general, this level of detail should not be necessary except for procedure agents of interest.",AG Dose Form,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,AGDOSFRM,14,Dose Form,What was the dose form of the [procedure/assessment agent]?,Char,"['FRM', 'CMDOSFRM']"
14,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,The number of doses administered during a specific interval.,"The frequency of the procedure agent. When collected, the recommendation is to collect dosing information in separate fields (e.g., AGDOSE, AGDOSEU, AGDOSFRQ) for specific and consistent data collection and to enable programmatically utilizing these data.",AG Dosing Frequency per Interval,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,AGDOSFRQ,15,Frequency,What was the frequency of the [procedure/assessment agent]?,Char,"['FREQ', 'CMDOSFRQ']"
15,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",R/C,The route of administration of the procedure/assessment agent.,"This additional information may be important to collect on the CRF when the sponsor wants to capture a procedure agent's route of administration, for purposes such as coding, and the procedure agent may have more than 1 route. Some companies may use route in coding procedure agents to be able to choose a precise preferred name and ATC code.",AG Route of Administration,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,AGROUTE,16,Route,What was the route of administration of the [procedure/assessment agent]?,Char,"['ROUTE', 'CMROUTE']"
16,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",R/C,"The start date when the procedure/assessment agent was first administered, represented in an unambiguous date format (e.g., DD-MON-YYYY).","The assumption is that sponsors should either have a start date or will indicate that the procedure agent was started before, during or after the study period. The preferred method is to collect a complete start date. Partial dates (e.g., providing year only) for procedure agent started a considerable amount of time prior to the start of study are acceptable.",Procedure Agent Start Date,"This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH START DATE and TIME components and populate the SDTMIG variable AGSTDTC in ISO 8601 format.",AGSTDAT,17,Start Date,What was the procedure/assessment agent] start date?,Char,
17,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",R/C,"The time the procedure/assessment agent was started, represented in an ambiguous time format (e.g., h:mm:ss).","Recommend collecting the time a procedure agent was started only when a protocol or data collection scenarios supports it. Typically, a start time is not collected unless the subject is under the direct care of the site at the time a procedure agent administered or the subject records the start time in a diary. See Section 3.7, Mapping Relative Times from Collection to Submissions, and the SDTMIG for more information.",Procedure Agent Start Time,"This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH START DATE and TIME components and populate the SDTMIG variable AGSTDTC in ISO 8601 format.",AGSTTIM,18,Start Time,What was the [procedure/assessment agent] start time?,Char,
18,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,Indication the procedure/assessment agent was administered prior to [AGSTTPT] or prior to the date in DM.RFSTDTC.,"Sponsors may collect this information rather than start dates. See Section 3.7, Mapping Relative Times from Collection to Submissions, and the SDTMIG for more information.",Prior Procedure Agents,"This does not map directly to an SDTMIG variable. May be used to populate a value into an SDTMIG relative timing variable such as AGSTRF or AGSTRTPT. When populating AGSTRF or AGSTRTPT, if the value of the CDASH field AGPRIOR is ""Y"", a value from the CDISC CT (STENRF) may be used. When AGPRIOR refers to the Study Reference Period (defined in DM.RFSTDTC to DM.RFENDTC), the SDTMIG variable AGSTRF should be populated. When AGPRIOR is compared to another time point, the SDTMIG variables AGSTRTPT and AGSTTPT should be used. Note: AGSTRTPT must be in reference to the time-point anchor described in AGSTTPT.",AGPRIOR,19,Prior to [AGSTTPT]; prior to study,Was the [procedure/assessment agent] administered prior to AGSTTPT? Was the procedure/assessment agent given prior to study start?,Char,['NY']
19,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",R/C,Indication the procedure/assessment agent is ongoing when no end date is provided.,"This box should be checked to indicate that the procedure agent has not stopped at the time of data collection. It is expected that every recorded procedure agent should have either an end date or be checked as ongoing, but not both. However, in cases where ongoing procedure agents are not permitted, it may not be necessary to include an Ongoing field in the CRF. See Section 3.7, Mapping Relative Times from Collection to Submissions, for more information about collecting relative date/time; see the SDTMIG for information about mapping relative times.",Ongoing Procedure Agents,"This does not map directly to an SDTMIG variable. May be used to populate a value into an SDTMIG relative timing variable such as AGENRF or AGENRTPT. When populating AGENRF, if the value of AGONGO is ""Y"", the values of ""DURING"", ""AFTER"" or ""DURING/AFTER"" may be used. When populating AGENRTPT, if the value of AGONGO is ""Y"", the value of ""ONGOING"" may be used. When AGONGO refers to the Study Reference Period (defined in DM.RFSTDTC to DM.RFENDTC), the SDTMIG variable AGENRF should be populated. When AGONGO is used in conjunction with another time point, the SDTMIG variables AGENRTPT and AGENTPT should be used. Note: AGENRTPT must be in reference to the time-point anchor described in AGENTPT.",AGONGO,20,Ongoing (as of [the study-specific time point or period]),Was the [procedure/assessment agent] ongoing (as of the [study-specific time point or period])?,Char,['NY']
20,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",R/C,"The date the procedure/assessment agent was stopped/ended, represented in an unambiguous date format (e.g. DD-MON-YYYY).","The assumption is that sponsors should either have an end date or will indicate that the procedure agent was ongoing at the time of collection or at the end of the study. However, in cases where the end date can be determined from dates collected elsewhere in the CRF it is not necessary to include an end date in the CRF. For example, if all procedure agents are administered only once during a trial, the end date will be the same as the start date.",Procedure Agents End Date,"This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH END DATE and TIME components and populate the SDTMIG variable CMENDTC in ISO 8601 format.",AGENDAT,21,End Date,What was the [procedure/assessment agent's] end date?,Char,
21,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",R/C,"The time the concomitant medication/treatment/therapy was started, represented in an unambiguous time format (e.g., hh:mm:ss).","Recommend collecting the time a procedure agent was ended only when a protocol or data collection scenarios require it or the subject records the end time in a diary. Typically, an end time is not collected unless the subject is under the direct care of the site at the time a procedure agent is stopped.",Procedure Agents End Time,"This does not map directly to an SDTMIG variable. For the SDTM submission dataset, concatenate all collected CDASH END DATE and TIME components and populate the SDTMIG variable AGENDTC in ISO 8601 format.",AGENTIM,22,End Time,What was the [procedure/assessment agent's] end time?,Char,
22,Interventions,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",AG,Procedure Agents,"This SDTM class captures investigational, therapeutic and other treatments that are administered to the subject (with some actual or expected physiological effect) either as specified by the study protocol (e.g., exposure to study drug), coincident with the study assessment period (e.g., concomitant medications), or self-administered by the subject (such as use of alcohol, tobacco, or caffeine). (Source: CDISC Controlled Terminology, GNRLOBSC, C103374, 2023-06-30)",O,"The dictionary or sponsor-defined standardized text description of the topic variable (AGTRT) or the modified topic variable (AGMODIFY), if applicable.","This is typically not a data collection field that will appear on the CRF. If the sponsor chooses to code the procedure, the sponsor will populate this through the coding process. If PRPRESP is used, and the information about a specific standardized procedure name is being solicited, the data from AGTRT may map directly to the SDTMIG AGDECOD variable.",Standardized Agent Name,Maps directly to the SDTMIG variable listed in the SDTMIG Target column.,AGDECOD,23,,,Char,
