"sub_section_nm","sub_sec_desc","sec_field_title","section_description","section_enum","sec_field_order","section_cycle","is_not_applicable","sec_field_id"
Comments,Comments,Safety Assessments,ECOG PS,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",287,,true,e4ca3b5e-e87e-40d6-9fdb-87f68594db16
Comments,Comments,Safety Assessments,Ophthalmologic Assessments,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": "" Upon approval of Amendment 1, newly enrolled lens grading evaluable patients will undergo an ophthalmic examination by an ophthalmologist at screening, during study treatment on Cycle 4 Day 1, on Cycle 7 Day 1, on Cycle 13 Day 1 (ie, after 3, 6 and\n12 months), every 12 months thereafter (ie, Days 1 of Cycles 25, 37, etc.) and at the End of Treatment/Withdrawal visit. Additional ophthalmic examinations may be performed as clinically indicated.""}], ""required"": false}]}",288,,false,d2320388-c84e-4c7f-88cf-7dd74eae288a
Comments,Comments,Adverse Events,AEs/SAEs,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": "" Serious Adverse events (SAEs) must be reported from the time the patient provides informed consent through and including\n28 calendar days after the last administration of the study drug. SAEs occurring after the active reporting period has ended should be reported if the investigator becomes aware of them; at a minimum, all SAEs that the investigator believes have at least a reasonable possibility of being related to study drug are to be reported to the Sponsor. All AEs (serious and non serious) should be recorded on the CRF from the first dose of study treatment through last patient visit. It is expected that telephone contact with the patient will be made in order to assess SAEs and AEs 28 calendar days (+/- 7 days) after the last administration of the study drug.""}], ""required"": false}]}",289,,false,"4da1dd91-22bb-4554-afd4-4e06a69513c6"
Comments,Comments,"Medications, Nondrug Therapies, and Radiotherapy",Prior/Concomitant therapies,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",290,,true,"82b7f480-b6dd-4b6c-b9af-08955b24456d"
Comments,Comments,"Medications, Nondrug Therapies, and Radiotherapy",Subsequent Anti-Cancer Treatment,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",291,,true,"00b11094-cade-4f6e-90d5-b389876c8e6c"
Comments,Comments,Laboratory Assessments,Hematology & Chemistry,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": ""Hematology includes hemoglobin, WBC, absolute neutrophil count, platelet count. Hematology tests must meet retreatment criteria prior to administering palbociclib Blood chemistry includes AST/ALT, alkaline phosphatase, sodium, potassium, magnesium, total calcium, total bilirubin, blood urea nitrogen (BUN) (or urea), serum creatinine, and albumin. Additional hematology/chemistries panels may be performed as clinically indicated. Upon approval of Amendment 3, hemoglobin A1c will be measured in all patients every 3 cycles (Day 1) going forward (C7D1, C10D1, C13D1, etc) and at the End of Treatment/Withdrawal visit. ""}], ""required"": false}]}",292,,false,b62fe1e0-4531-4c46-856f-75dab309bed8
Comments,Comments,Laboratory Assessments,Coagulation,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",293,,true,c750a1fd-eaf2-4887-ad6d-590a0905e181
Comments,Comments,Laboratory Assessments,Troponin,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""Blood Tests"", ""complexity"": ""low"", ""burden_score"": 3, ""burden_category"": ""low""}]}",294,,true,"67654323-ba63-497a-9295-7b96ce2ff274"
Comments,Comments,Laboratory Assessments,Urinalysis,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""Urinalysis"", ""complexity"": ""low"", ""burden_score"": 2, ""burden_category"": ""low""}]}",295,,true,"62e07ad2-c9e8-4e3e-b4d1-d213317f7f58"
Comments,Comments,Laboratory Assessments,Pregnancy Test,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": ""Pregnancy test (serum) at screening only for women of childbearing potential. Test may be repeated as per request of IRB/IECs or if required by local regulations. Serum estradiol and Follicle stimulating hormone (FSH) levels are analysed at screening to confirm postmenopausal status of women <60 years old and who have been amenorrheic for at least 12 consecutive months.""}], ""required"": false}]}",296,,false,c8f3e37b-9232-4f42-b930-af9971924d8d
Comments,Comments,Laboratory Assessments,HBV and HCV Test,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",297,,true,d2a01613-2e9d-40c5-b489-6eca47d43fea
Comments,Comments,Laboratory Assessments,HIV Test,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",298,,true,bcc75dfc-9a97-4db9-8d89-e70a4a399490
Comments,Comments,Laboratory Assessments,Additional Safety Tests,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",299,,true,"6d2f9c3e-3bd7-4406-8049-933dafa5664b"
Comments,Comments,PK / ADA Assessments,Blood for PK,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": ""Additional PK blood samples may be collected from patients experiencing unexpected or serious adverse events, or adverse events that lead to discontinuation.""}], ""required"": false}]}",300,,false,"9487c139-4a8b-47de-ba75-507fbee53e66"
Comments,Comments,PK / ADA Assessments,Blood for ADA,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",301,,true,"874b6442-e7b2-4cdc-8d04-3d4631a947e8"
Comments,Comments,Biomarker Assessments,Archival Tumor,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",302,,true,fc5e7f1c-e12b-423e-8cd2-04f4e2c85ba9
Comments,Comments,Biomarker Assessments,Newly Obtained Tumor Biopsy,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",303,,true,a212ff50-9324-41ae-8d68-ce9d0032c050
Comments,Comments,Biomarker Assessments,Blood sample for ctDNA/cfDNA,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",304,,true,"73f99aab-ffc6-4649-b402-0cf54323bbee"
Comments,Comments,Biomarker Assessments,Blood sample for WES/WGS control,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",305,,true,"90fc13ce-6abd-4d41-b222-35dbb36602cc"
Comments,Comments,Biomarker Assessments,Pharmacogenetics (Inherited Genetic Analysis) Sample,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",306,,true,"4a0bfda9-862c-42e4-a12f-3305f9af069e"
Comments,Comments,Biomarker Assessments,Blood for biomarker analysis,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",307,,true,"43d5d37d-6a24-4287-87ad-fde83dca11db"
Comments,Comments,Biomarker Assessments,Other biomarker analysis,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",308,,true,aeab025f-3164-47a2-acb3-fdff38319932
Comments,Comments,Efficacy Assessments,Radiographic Tumor Assessment,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": ""Upon approval of Amendment 3, performed as per local practice""}], ""required"": false}]}",309,,false,bd95d1c1-c003-4787-937e-29bff99dbc6f
Comments,Comments,Efficacy Assessments,CT/MRI of Brain,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",310,,false,"60f8e90b-191e-47b3-aa13-6e9540c6e729"
Comments,Comments,Efficacy Assessments,Survival FU,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": ""Telephone contact is acceptable. During follow-up visits the following data will be recorded in the CRF: 1) start, stop and type of new anticancer therapy; 2) tumor response of new anticancer therapy; 3) date of progression of the disease during or after the new antitumor agent; 4) survival status.""}], ""required"": false}]}",311,,false,"824b4bce-a57c-4649-96c7-42b51bf57549"
Comments,Comments,HEOR Assessments,EQ-5D-5L EORTC QLQ-C30,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": ""Day 1 of every other cycle thereafter starting with Cycle 6 (ie,\nCycle 6,8, 10, etc)""}], ""required"": false}]}",312,,false,c2443107-3e20-42a6-bfda-4d5704e9d3cd
Comments,Comments,HEOR Assessments,Healthcare Resource Utilization,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": """"}], ""required"": false}]}",313,,false,c3eb0c94-343b-410d-8250-65fa77223663
Comments,Comments,Trial Interventions,Trial Intervention,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": ""Orally once daily on Days 1 to 21of each Cycle followed by 7 days off treatment (visit windows not applicable to palbociclib/placebo dosing)""}], ""required"": false}]}",314,,false,abc0ca6d-4cf3-479e-9029-faf3c4e557e9
Comments,Comments,Trial Interventions,Comparator/Combination Partner,"{""questions"": [{""q_type"": ""label"", ""q_order"": 1, ""q_title"": ""Add your comments here"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": """", ""required"": false, ""q_ans_value"": ""IM administration on Days 1 and 15 of Cycle 1, every 28 days (7 days) thereafter starting from Day 1 of Cycle 1""}], ""required"": false}]}",315,,false,a946bb4f-3009-49e7-a479-4ad10f92b13e
EOT,EOT,General,General Fields for EOT,"{""questions"": [{""inline"": true, ""q_type"": ""number"", ""q_order"": 1, ""q_title"": ""Window for EOT Visit: "", ""required"": true, ""is_metadata"": true, ""q_ans_value"": 0, ""prefix_values"": [], ""suffix_values"": [""Days""]}]}",197,,false,"5f4d2234-e44c-4a25-8091-21764e3dab5c"
EOT,EOT,Eligibility Assessments,Main ICF,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Required during EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true}]}",198,,true,"5b1ec78b-ef64-42bc-be18-8d254653fcde"
EOT,EOT,Eligibility Assessments,Eligibility Assessment,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Required during EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true}]}",199,,true,bb37f961-3f84-49bc-a2c7-c1660ad61c51
EOT,EOT,Eligibility Assessments,Demographics,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Required during EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true}]}",200,,true,"5b1cb11f-fd70-47d2-aee7-2b5fdd603b19"
EOT,EOT,Eligibility Assessments,Medical History,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Required during EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true}]}",201,,true,f996f073-0794-419a-bb98-f9b526fcb128
EOT,EOT,Safety Assessments,Height,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Height taken at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true, ""q_selected"": ""Yes""}]}",202,,false,d37aba9c-4b1d-461e-ac18-7f0869d11bed
EOT,EOT,Safety Assessments,Weight,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Weight taken at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true, ""q_selected"": ""Yes""}]}",203,,false,aa83fc7b-1e46-4e49-888a-9f999f4b6444
EOT,EOT,Safety Assessments,Physical Exam,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""physical exam done at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true, ""q_selected"": ""Yes""}]}",204,,false,e9505d79-70c3-4245-b0c4-b58753a3828b
EOT,EOT,Safety Assessments,Vital Signs,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Vital Signs done at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true, ""q_selected"": ""Yes""}]}",205,,false,"52e86e04-c8f8-4104-b30e-1409a070babc"
EOT,EOT,Safety Assessments,"12-lead ECG","{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""ECG done at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true}, {""q_type"": ""label"", ""q_order"": 2, ""q_title"": ""What is the time-points for ECG collection?"", ""q_values"": [{""q_type"": ""textarea"", ""q_title"": ""Specify Timepoints"", ""required"": true, ""q_ans_value"": """"}], ""required"": true}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""12-lead ECG"", ""complexity"": ""low"", ""burden_score"": 2, ""burden_category"": ""low""}]}",206,,true,cf20bc4c-2bfb-401a-aacd-fcc6c5820e24
EOT,EOT,Safety Assessments,ECHO/MUGA,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""ECHO/MUGA done at EOT?"", ""q_values"": [{""value"": ""Yes"", ""additional_input"": [{""q_type"": ""radio"", ""q_order"": 2, ""q_title"": ""indicate timepoints for ECHO/MUGA during Treatment?"", ""q_values"": [{""value"": ""Not Done"", ""additional_input"": [{""q_hint"": ""Days before [Enrollment / Randomization / C1D1]"", ""q_type"": ""number"", ""q_order"": 3, ""q_title"": ""Within how many days?"", ""required"": true}]}, {""value"": ""Repeat""}], ""required"": true}]}, {""value"": ""No""}], ""required"": true}]}",207,,true,"80396ae6-5fcd-44f1-8997-d99a2e9395ec"
EOT,EOT,Safety Assessments,ECOG PS,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""ECOG PS done at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true, ""q_selected"": ""Yes""}]}",208,,false,eb8996ad-332c-4ab2-98db-06c3e2c970d8
EOT,EOT,Safety Assessments,Ophthalmologic Assessments,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Ophthalmologic Assessments done at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true, ""q_selected"": ""Yes""}]}",209,,false,"02db4a88-da99-44f5-9b8a-7d75c85681dc"
EOT,EOT,Adverse Events,AEs/SAEs,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Any deviation from defult AE's/SAE's?"", ""q_values"": [{""value"": ""Yes"", ""additional_input"": [{""q_type"": ""textarea"", ""q_title"": ""Specify"", ""required"": true, ""q_ans_value"": ""Standard""}]}, {""value"": ""No""}], ""required"": true, ""q_selected"": ""Yes""}]}",210,,false,"6b79adce-a45d-48bb-8b9c-70a4eb67b871"
EOT,EOT,"Medications, Nondrug Therapies, and Radiotherapy",Prior/Concomitant therapies,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Prior/Concomitant Therapies done at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true, ""q_selected"": ""Yes""}]}",211,,false,"437b1d3d-a90d-4b52-b2c7-aa0b2a1b4141"
EOT,EOT,"Medications, Nondrug Therapies, and Radiotherapy",Subsequent Anti-Cancer Treatment,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Subsequent anti-cancer therapy information will be collected?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true}]}",212,,true,d37a62ab-b325-42e3-9ebb-3dc2eef5fc7c
EOT,EOT,Laboratory Assessments,Hematology & Chemistry,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Hematology & Chemistry done at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true, ""q_selected"": ""Yes""}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""Blood Tests"", ""complexity"": ""low"", ""burden_score"": 3, ""burden_category"": ""low""}]}",213,,false,"702ed3d6-15bf-4f7a-958f-f3caf5b90fb1"
EOT,EOT,Laboratory Assessments,Coagulation,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Coagulation collected at EOT?"", ""q_values"": [{""value"": ""Yes"", ""additional_input"": [{""q_type"": ""textbox"", ""q_title"": ""Specify timepoint(s)"", ""required"": true, ""q_ans_value"": """"}]}, {""value"": ""No""}], ""required"": true}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""Blood Tests"", ""complexity"": ""low"", ""burden_score"": 3, ""burden_category"": ""low""}]}",214,,true,bb625d0e-5005-4dc8-b459-a2fae2783de9
EOT,EOT,Laboratory Assessments,Troponin,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Troponin collected at EOT?"", ""q_values"": [{""value"": ""Yes"", ""additional_input"": [{""q_type"": ""textbox"", ""q_title"": ""Specify timepoint(s)"", ""required"": true, ""q_ans_value"": """"}]}, {""value"": ""No""}], ""required"": true}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""Blood Tests"", ""complexity"": ""low"", ""burden_score"": 3, ""burden_category"": ""low""}]}",215,,true,"774464a1-6bb7-4d1b-b022-5b699caee6a8"
EOT,EOT,Laboratory Assessments,Urinalysis,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Urinalysis collected at EOT?"", ""q_values"": [{""value"": ""Yes"", ""additional_input"": [{""q_type"": ""textbox"", ""q_title"": ""Specify timepoint(s)"", ""required"": true, ""q_ans_value"": """"}]}, {""value"": ""No""}], ""required"": true}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""Urinalysis"", ""complexity"": ""low"", ""burden_score"": 2, ""burden_category"": ""low""}]}",216,,true,"894f809b-c07f-4cd3-9c88-5c4f066ba85d"
EOT,EOT,Laboratory Assessments,Pregnancy Test,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Pregnancy Test collected at EOT?"", ""q_values"": [{""value"": ""Yes"", ""additional_input"": [{""q_type"": ""textbox"", ""q_title"": ""Specify timepoint(s)"", ""required"": true, ""q_ans_value"": """"}]}, {""value"": ""No""}], ""required"": true}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""Blood Tests"", ""complexity"": ""low"", ""burden_score"": 3, ""burden_category"": ""low""}]}",217,,true,"14170e4f-e13f-4bf6-b9d7-794631aa34db"
EOT,EOT,Laboratory Assessments,HBV and HCV Test,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""HBV and HCV Test done at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""Blood Tests"", ""complexity"": ""low"", ""burden_score"": 3, ""burden_category"": ""low""}]}",218,,true,b22fb492-adfb-4f34-bad8-dfe2891f59f2
EOT,EOT,Laboratory Assessments,HIV Test,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""HIV Test done at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""Blood Tests"", ""complexity"": ""low"", ""burden_score"": 3, ""burden_category"": ""low""}]}",219,,true,"4465e602-d297-4644-9223-ff32273b7bdf"
EOT,EOT,Laboratory Assessments,Additional Safety Tests,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""Additional safety Tests done at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true}]}",220,,true,"39674884-01a0-421d-9864-08e8d176057f"
EOT,EOT,PK / ADA Assessments,Blood for PK,"{""questions"": [{""q_type"": ""radio"", ""q_order"": 1, ""q_title"": ""PK Sampling collected at EOT?"", ""q_values"": [{""value"": ""Yes""}, {""value"": ""No""}], ""required"": true}], ""assessment_complexity_map"": [{""cost"": ""low"", ""assessment"": ""Blood Tests"", ""complexity"": ""low"", ""burden_score"": 3, ""burden_category"": ""low""}]}",221,,true,"0ac24941-436c-4bb0-992a-95209117d2c1"
